start	end	text
0	16520	Préstame, chuvias, tuas palabras, etí, vento, asideas tan longas, déjame ote un rezo breve,
16520	28400	río, etí, neve, acortiza Daviduera, acoga o norte crepúsculo de musgo, pisadas.
30000	41760	Quebra o mundo como asa de garza, acúdeme, los trego, ponte de man verde espada, cúbreme, neboa.
41760	44960	Coidémonos, ven gente.
60160	87640	A osarelos de oro, o de hora a dosí, son las vagoas hacedas que me fas llorar ti.
87760	109520	Si que el suro fino, oréona a dosí, cabrio de un buraco,
110520	119680	desdió tu palo a mí.
119680	146680	¿Qué coño es el río, un río a la dosis?
146680	159680	¿Me arcaras cuando muerto un amor infeliz?
160680	174680	Para dar con cariño verba de los debir
174680	191680	enchoitaros mis sonidos, río a la dosis.
