start	end	text
0	4000	US蓋
16000	26000	Me andré al nino, un okara k equipment
30000	54740	El
84740	86740	y ellos se burlan de mí,
86740	94740	y ellos se burlan de mí.
104740	106740	Los dos niños, los cielos,
106740	110740	han hecho tanta mudanta,
111740	114740	que la coraje esperanta
114740	118740	se me ha convertido en verano,
120740	124740	verano amor.
130740	134740	Sube, sube, valdón mío,
134740	139740	preparo y desimparo,
139740	145740	sin el rato de mi amor,
145740	153740	sin tu ron de mi amor.
155740	157740	Arrochagres, perdas el sol,
157740	161740	sin tu ron de mi amor.
169740	173740	Sube, sube, valdón mío,
173740	177740	preparo y desimparo,
177740	181740	sin tu ron de mi amor.
181740	185740	Sube, sube, valdón mío,
185740	189740	preparo y desimparo,
189740	193740	sin tu ron de mi amor.
193740	197740	Sube, sube, valdón mío,
197740	201740	preparo y desimparo,
201740	205740	sin tu ron de mi amor.
205740	209740	Sube, sube, valdón mío,
209740	213740	preparo y desimparo,
213740	217740	sin tu ron de mi amor.
217740	223740	Sube, sube, valdón mío,
223740	227740	preparo y desimparo,
227740	233740	sin tu ron de mi amor.
233740	237740	Sube, sube, valdón mío,
237740	241740	preparo y desimparo,
241740	245740	sin tu ron de mi amor.
245740	251740	Sube, sube, valdón mío.
261740	265740	Open your roses,
265740	271740	flowers in me garden,
275740	281740	flowers in me garden,
285740	289740	flowers in me garden,
289740	293740	como los lindos blancos,
293740	297740	tu alvar es no lo vero,
297740	301740	mira con mi palo.
301740	305740	A luna vino Ana Frango,
305740	311740	hoy supones dónde guardo,
311740	315740	el niño la mira,
315740	321740	el niño la está mirando,
321740	327740	él y lo iré con la vida,
327740	331740	vuelve a luna sus ramos
331740	335740	y enseña lúbrica y pura,
335740	341740	sus celos te duró el taño,
341740	345740	y los filanos del amor
345740	349740	levantan por distraerse,
349740	353740	muriendo de corajonas
353740	357740	y ramos de pino verde.
357740	365740	Oh, mi amor,
365740	369740	mi asunto,
369740	373740	mi asunto,
373740	377740	mi asunto,
377740	381740	mi asunto,
381740	385740	mi asunto,
385740	391740	por los lindos
391740	397740	que no es rajar,
397740	401740	que no detenos
401740	407740	el amor.
415740	421740	Oh, mi amor,
421740	427740	mi asunto,
427740	431740	mi asunto,
431740	435740	mi asunto,
435740	439740	mi asunto,
439740	443740	mi asunto,
