start	end	text
0	5000	Aplausos
30000	58000	Aplausos
60000	72000	Que vino la più lucha o que me lasi
72000	82000	Traga al visite y parte al vostro son
82000	92000	El grape al pianto por la vista sole
92000	97000	El pianto que me arroja
97000	107000	Tu afundibasi que cero requiemme
107000	122000	Que piudibasi como el sole dañé y que maruré
122000	132000	Que farde pie bien su que me duele
132000	142000	Si bien eso no está dañado y pasé
142000	151000	Y tu mi alma y tu língua y tu mano
151000	159000	No tiene que decir, ni pensar, ni escribir, soy
159000	169000	Sin hundir sus crenes y aspecto mano
169000	178000	Forseguí imaginarte la podrá
178000	187000	A ogni desenco si hay perfecto hermano
187000	197000	Aporre cualquier látimo que habrá ahí
