start	end	text
0	18540	y
30000	38000	¿Quién te vais a pedir?
47000	51000	No sin canto astrantas nace
51000	56000	No ves las flores más fin
56000	60000	Nalvarada maldinha
60000	64000	Nalvarada de abril
64000	68000	Por eso me llaman rosa
68000	73000	Ayzado, triste sorrir
73000	79000	Con espiñas para todos
79000	85000	Sin ninguno para ti
92000	96000	Desquieté frúche en ingrato
96000	99000	Tu volvamos maraví
99000	103000	Que eras sin mar o mintado
103000	107000	Mi niadroria, mi vivir
107000	111000	De que pues te quichas amor
111000	115000	De que pues te quichas ti
115000	120000	Cuando sabes que morerá
120000	127000	Por te contemplar feliz
127000	138000	Duro, creado, en gravaches
138000	142000	Con ese teo antes sí
142000	146000	Con ese teo perdón
146000	151000	Que no sé que perderí
151000	160000	Pues dice tanto dar puede
160000	171000	Amariciosa de ti
182000	189000	Como el corazón cebando
189000	196000	Con la chapebra a frío
196000	203000	Ni niugilio más que marce
203000	207000	Nalvarada de abril
207000	211000	Por ti
